City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,st. john's,47.5649,-52.7093,15.64,84,75,4.02,CA,1691532353
121,brookings,44.3114,-96.7984,26.77,53,0,3.6,US,1691532573
122,margate,51.3813,1.3862,16.61,91,100,2.24,GB,1691532114
123,am timan,11.0297,20.2827,21.95,94,68,1.86,TD,1691532574
124,avarua,-21.2078,-159.775,23.03,60,75,6.17,CK,1691532349
125,knyaze-volkonskoye,48.4642,135.4567,20.72,87,97,1.37,RU,1691532575
126,serhiyivka,46.0272,30.3768,15.92,83,3,5.72,UA,1691532576
127,rosetta,31.4044,30.4164,25.87,71,0,4.11,EG,1691532576
128,udachny,66.4167,112.4,16.36,58,10,1.81,RU,1691532234
129,kununurra,-15.7667,128.7333,12.99,76,16,1.54,AU,1691532353
130,bredasdorp,-34.5322,20.0403,9.18,88,0,1.47,ZA,1691532263
131,port elizabeth,-33.918,25.5701,15.16,94,75,3.6,ZA,1691532388
132,blythe,33.6103,-114.5964,42.25,20,75,8.07,US,1691532578
133,polyarnyy,69.1989,33.4478,17.02,81,2,5.11,RU,1691532345
134,belmonte,-15.8631,-38.8828,22.81,83,2,3.44,BR,1691532579
135,wailua homesteads,22.0669,-159.378,33.24,75,100,8.23,US,1691532343
136,minas de marcona,-15.2119,-75.1103,15.56,71,3,5.97,PE,1691532412
137,shizunai-furukawacho,42.3339,142.3669,23.39,96,100,6.65,JP,1691532580
138,tura,25.5198,90.2201,23.3,98,100,2.31,IN,1691532369
139,utrik,11.2278,169.8474,28.43,73,59,6.17,MH,1691532398
140,lebu,-37.6167,-73.65,12.3,70,100,3.78,CL,1691532546
141,dunda,-8.1167,34.25,16.0,67,0,1.36,TZ,1691532582
142,louga,58.7372,29.8453,14.04,79,45,2.05,RU,1691532582
143,lompoc,34.6391,-120.4579,24.88,69,10,2.68,US,1691532350
144,port lincoln,-34.7333,135.8667,12.4,44,0,8.99,AU,1691532352
145,dudinka,69.4058,86.1778,13.68,64,71,1.04,RU,1691532358
146,cromwell,41.5951,-72.6454,27.04,72,100,4.63,US,1691532584
